0,1,2,3,4,5,6
792.969,87.21022,76.15509,71.473724,106.3591,85.589882,69.728554
801.398,87.030701,76.111282,71.453278,106.102913,85.58268,69.760323
809.825,86.848953,76.168793,71.519966,105.854393,85.586487,69.82235
818.253,86.707588,76.138084,71.449142,105.551018,85.615921,69.901489
826.681,86.494667,76.127563,71.515396,105.213684,85.565727,69.847672
835.109,86.28064,76.150543,71.540436,104.896942,85.593956,69.949898
843.535,86.146072,76.06588,71.5653,104.58078,85.485977,70.050598
851.963,85.864502,76.000519,71.52536,104.236542,85.426239,70.115135
860.39,85.722794,76.06131,71.594193,103.832199,85.396919,70.108536
868.818,85.553963,76.041168,71.52523,103.498352,85.307693,70.140625
877.244,85.310287,75.955879,71.572151,103.125786,85.201729,70.197495
885.672,85.088928,75.868584,71.518761,102.775352,85.13652,70.230659
894.1,84.882988,75.853279,71.514671,102.339294,84.996246,70.106316
902.528,84.655457,75.777443,71.495193,101.972603,84.845459,70.16124
910.956,84.371834,75.683128,71.469627,101.563194,84.703087,70.203476
919.383,84.18782,75.612938,71.442268,101.1213,84.612297,70.168663
927.812,83.914642,75.530869,71.394562,100.70504,84.475563,70.142731
936.237,83.785126,75.454391,71.389801,100.280899,84.330002,70.084595
944.666,83.555077,75.412415,71.353081,99.891121,84.159584,70.067383
953.093,83.269417,75.321274,71.299965,99.474083,83.963593,70.03286
961.522,83.000214,75.173935,71.247467,99.028275,83.827888,70.000137
969.949,82.790283,75.075264,71.194839,98.632828,83.610138,69.965164
978.378,82.628975,75.067123,71.164238,98.216217,83.425117,69.908356
986.806,82.419937,74.892357,71.106766,97.848442,83.26458,69.920929
995.234,82.269821,74.847267,71.052505,97.470924,83.077301,69.838249
1003.662,82.154091,74.757729,70.974625,97.234703,82.909348,69.846603
1012.091,82.06691,74.594292,71.020393,96.958412,82.724411,69.821251
1020.519,81.977852,74.483292,70.842216,96.747276,82.500008,69.673004
1028.944,81.906845,74.415764,70.823944,96.608383,82.352089,69.555832
1037.373,81.958138,74.31282,70.726242,96.502197,82.157204,69.457703
1045.801,81.892654,74.241196,70.670181,96.466393,81.969093,69.426399
1054.229,81.953903,74.153481,70.623238,96.427162,81.797081,69.407753
1062.657,82.041779,74.115517,70.563263,96.457397,81.668549,69.321632
1071.086,82.060242,74.034081,70.471031,96.512146,81.574516,69.231499
1079.515,82.07711,73.923317,70.342133,96.650238,81.438293,69.104904
1087.942,82.181602,73.866447,70.303345,96.783257,81.354088,69.084877
1096.369,82.340813,73.869522,70.297722,96.935997,81.245026,69.012947
1104.798,82.499184,73.850014,70.269028,97.123222,81.179001,68.950127
1113.226,82.665344,73.825882,70.234352,97.341599,81.068993,68.853851
1121.653,82.799164,73.793282,70.203796,97.590324,81.108818,68.824455
1130.082,82.932411,73.744972,70.116516,97.868935,81.053421,68.704178
1138.51,83.108208,73.810204,70.188644,98.15683,81.060867,68.624741
1146.939,83.283203,73.783211,70.091972,98.474915,81.104736,68.626427
1155.365,83.472786,73.754974,70.094666,98.814529,81.144279,68.61393
1163.794,83.669212,73.812172,70.063179,99.108383,81.141029,68.527473
1172.223,83.879608,73.845505,70.054131,99.483437,81.236565,68.532684
1180.65,84.034019,73.797234,70.007675,99.814232,81.271538,68.456024
1189.078,84.252266,73.869324,70.049072,100.222374,81.382889,68.455513
1197.507,84.472656,73.926834,70.039436,100.629761,81.458549,68.450264
1205.935,84.716713,73.99926,70.084618,101.012802,81.50631,68.40976
1214.363,84.913818,74.026825,70.06749,101.390366,81.619576,68.403366
1222.792,85.162376,74.074623,70.063507,101.774002,81.72348,68.42498
1231.22,85.428192,74.202644,70.173241,102.193108,81.897156,68.401047
1239.648,85.572891,74.206718,70.170212,102.585526,82.045593,68.371826
1248.074,85.799774,74.315544,70.137657,102.961967,82.170105,68.379883
1256.501,85.97522,74.385139,70.138969,103.384018,82.303589,68.380615
1264.93,86.269241,74.437935,70.264442,103.788544,82.467262,68.335442
1273.357,86.512993,74.539505,70.273224,104.214417,82.611244,68.37854
1281.782,86.772446,74.649864,70.319672,104.678635,82.791328,68.44651
1290.21,86.958977,74.716499,70.361122,105.096504,82.971664,68.527802
1298.638,87.197098,74.791786,70.410759,105.509506,83.168419,68.506035
